what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522898682321
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --sidp=0x430f0, --id=0x7, --timestamp=1393900972, /cygdrive/d/CS723-A1/workspace/software/Ass1/Ass1.elf] return code: 127",1522898689669
error,log,,,"Downloading ELF Process failed",1522898689671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522898689695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522898693976
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1522898694999
error,log,,,"Unable to validate connection settings.",1522898702771
error,log,,,"Unable to validate connection settings.",1522898702772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522898702797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522898705080
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1522898706287
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522898709201
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522898709461
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522898718092
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522898728975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522898731642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522898738067
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522900179418
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522900180676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522900195317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522900196275
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522900200816
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522900202686
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522900211284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522900720353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522900721886
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522900721904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522900757268
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522900763934
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522900764256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522900764683
